vehicle_id,battery_percentage,longitude,latitude
225776,9.927,72.88207563442928,21.222534586280197
137655,9.971499999999999,72.78253852810221,21.204875320872933
115166,9.5815,72.7801242292841,21.20131043746989
295590,9.875,72.82375096797925,21.181102403823754
275263,9.948500000000001,72.85018247793718,21.210021649603
176965,9.9555,72.82708856610819,21.169313453054038
51819,9.981,72.86048889229798,21.21391314133503
125621,9.976500000000001,72.73915909384547,21.124937397111278
144969,9.8615,72.8111035210377,21.162837098822905
118574,9.7905,72.80615864519945,21.191186985992115
225439,9.887,72.88809946262703,21.22524021853824
50237,9.963,72.74905593794534,21.1366484114894
283,9.99,72.8749545919233,21.148841458648203
197052,9.7515,72.8319099526546,21.15690036812676
7419,9.9865,72.87235678513545,21.151619141884996
274333,9.648000000000001,72.8411430398291,21.168935261606745
317337,9.988,72.73203057933901,21.123938829850474
132878,9.969999999999999,72.74341915185973,21.131561383986103
180328,9.9785,72.88819773726767,21.22568050168102
135742,9.9325,72.78263005432156,21.208977145192936
52517,9.993,72.7466813904586,21.134645809446223
199710,9.911,72.81918068057097,21.14922799352761
292237,9.8705,72.83576418050608,21.1790542657588
198314,9.9145,72.81800150857151,21.14909506372701
111280,9.865,72.72574026434708,21.095124421062053
63,9.9925,72.86973204989486,21.154016317266933
295321,9.8765,72.79892341049694,21.145057705339745
141751,9.853000000000002,72.83852011341628,21.176037799840532
274633,9.872499999999999,72.76454506170212,21.138197430424395
106246,9.8005,72.86214335607296,21.150592729550393
111663,9.8385,72.72311063711541,21.089363496055736
211440,9.832500000000001,72.81116664325057,21.15733139176037
294984,9.918000000000001,72.8286073462617,21.12632528480884
109859,9.891,72.82138995169251,21.185500297022024
111972,9.6625,72.72388577588151,21.09105593149443
108866,9.936499999999999,72.82187236137298,21.18593578190926
21999,9.945500000000001,72.79408798319918,21.174484765453172
42524,9.820500000000001,72.80083723085112,21.203055922743978
279085,9.6455,72.88126250594573,21.222472066710257
33118,9.648000000000001,72.79609609813743,21.1604767955566
56029,9.814499999999999,72.86262058183071,21.233414827654133
303938,9.8405,72.86689136420902,21.217631293593104
308028,9.9225,72.82126693989336,21.232117170507774
281981,9.9925,72.79881011028738,21.255279872059393
174797,9.944,72.81737517328565,21.164204154294524
27678,9.472,72.79523760060732,21.15990350175435
300932,9.9625,72.8776909039334,21.211891029012417
319699,9.92,72.75742445969117,21.14378687488644
112333,9.818,72.72335723609649,21.08989982008071
265448,9.9875,72.89692891272901,21.127476754955527
52563,9.9925,72.74616966335859,21.13421616383458
189702,9.981,72.86933393504421,21.171046649967256
20862,9.998999999999999,72.79715767078457,21.177324844863545
268092,9.9695,72.76058604079013,21.137277901378532
131493,9.953000000000001,72.84189301606229,21.190433164075333
191106,9.788,72.866165945568,21.15613774912437
276043,9.789,72.77280561390407,21.151256929846774
314149,9.3125,72.84003993944485,21.205292742515752
